Date,Location,Positive,Tested,Discharged,Fatal,Vaccinated_1st,Vaccinated_2nd,Vaccinated_3rd
2020-07-01,Domestic,18394,390347.0,16522.0,973,,,
2020-07-01,Airport,314,76268.0,194.0,1,,,
2020-07-01,Returnee,15,829.0,15.0,0,,,
2020-07-02,Domestic,18545,396911.0,16563.0,974,,,
2020-07-02,Airport,314,77568.0,194.0,1,,,
2020-07-02,Returnee,15,829.0,15.0,0,,,
2020-07-03,Domestic,18737,402371.0,16654.0,975,,,
2020-07-03,Airport,316,78677.0,197.0,1,,,
2020-07-03,Returnee,15,829.0,15.0,0,,,
2020-07-04,Domestic,18950,408968.0,16747.0,976,,,
2020-07-04,Airport,317,80490.0,197.0,1,,,
2020-07-04,Returnee,15,829.0,15.0,0,,,
2020-07-05,Domestic,19184,412102.0,16838.0,976,,,
2020-07-05,Airport,323,82233.0,197.0,1,,,
2020-07-05,Returnee,15,829.0,15.0,0,,,
2020-07-06,Domestic,19425,414720.0,16912.0,976,,,
2020-07-06,Airport,335,84349.0,197.0,1,,,
2020-07-06,Returnee,15,829.0,15.0,0,,,
2020-07-07,Domestic,19628,422948.0,16981.0,977,,,
2020-07-07,Airport,338,86216.0,201.0,1,,,
2020-07-07,Returnee,15,829.0,15.0,0,,,
2020-07-08,Domestic,19816,430047.0,17115.0,979,,,
2020-07-08,Airport,343,87334.0,201.0,1,,,
2020-07-08,Returnee,15,829.0,15.0,0,,,
2020-07-09,Domestic,20010,438166.0,17250.0,980,,,
2020-07-09,Airport,346,88551.0,201.0,1,,,
2020-07-09,Returnee,15,829.0,15.0,0,,,
2020-07-10,Domestic,20353,449671.0,17436.0,981,,,
2020-07-10,Airport,351,89911.0,201.0,1,,,
2020-07-10,Returnee,15,829.0,15.0,0,,,
2020-07-11,Domestic,20753,459538.0,17633.0,981,,,
2020-07-11,Airport,361,91291.0,201.0,1,,,
2020-07-11,Returnee,15,829.0,15.0,0,,,
2020-07-12,Domestic,21113,464900.0,17787.0,981,,,
2020-07-12,Airport,374,92893.0,201.0,1,,,
2020-07-12,Returnee,15,829.0,15.0,0,,,
2020-07-13,Domestic,21459,466738.0,17887.0,981,,,
2020-07-13,Airport,394,94538.0,201.0,1,,,
2020-07-13,Returnee,15,829.0,15.0,0,,,
2020-07-14,Domestic,21798,477290.0,18066.0,981,,,
2020-07-14,Airport,407,96313.0,201.0,1,,,
2020-07-14,Returnee,15,829.0,15.0,0,,,
2020-07-15,Domestic,22081,488444.0,18312.0,983,,,
2020-07-15,Airport,412,97433.0,218.0,1,,,
2020-07-15,Returnee,15,829.0,15.0,0,,,
2020-07-16,Domestic,22450,499787.0,18580.0,984,,,
2020-07-16,Airport,425,98623.0,219.0,1,,,
2020-07-16,Returnee,15,829.0,15.0,0,,,
2020-07-17,Domestic,23029,516470.0,18862.0,984,,,
2020-07-17,Airport,429,99750.0,219.0,1,,,
2020-07-17,Returnee,15,829.0,15.0,0,,,
2020-07-18,Domestic,23680,524327.0,19132.0,984,,,
2020-07-18,Airport,437,100993.0,219.0,1,,,
2020-07-18,Returnee,15,829.0,15.0,0,,,
2020-07-19,Domestic,24181,531493.0,19342.0,984,,,
2020-07-19,Airport,446,102675.0,219.0,1,,,
2020-07-19,Returnee,15,829.0,15.0,0,,,
2020-07-20,Domestic,24626,534755.0,19523.0,984,,,
